Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
Dimir High Tide, 1, 1, 1, 1.00, 0.11, 0.11, 0, 0, 0, UB, "combo", ""
Blue Moon, 4, 3, 12, 3.00, 0.33, 0.27, 0, 0, 0, UR, "control", ""
Esper Time Vault, 2, 2, 6, 3.00, 0.33, 0.33, 0, 0, 0, WUB, "combo", "Esper Vault"
Abzan Lands, 2, 2, 6, 3.00, 0.33, 0.33, 0, 0, 0, WBG, "midrange", ""
Zombies, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, B, "midrange", ""
Esper Control, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUB, "control", ""
Esper Initiative, 3, 3, 3, 1.00, 0.11, 0.13, 0, 0, 0, WUB, "midrange", ""
Bant Enchantress, 2, 2, 6, 3.00, 0.33, 0.33, 0, 0, 0, WUG, "combo, stax", ""
4C Welder, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, , "combo, midrange", ""
Unknown, 5, 4, 3, 0.60, 0.07, 0.00, 0, 0, 0, , "", ""
Bant Midrange, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUG, "midrange", ""
Dead Guy Dragons, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WBR, "combo", ""
Rakdos Pyromancer, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, BR, "midrange", ""
Jund Goblins, 3, 2, 6, 2.00, 0.22, 0.22, 0, 0, 0, BRG, "aggro, combo", ""
Death and Goblins, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WR, "aggro", "Boros Goblins, RW Goblins"
Dimir Ninjas, 2, 1, 6, 3.00, 0.33, 0.33, 0, 0, 0, UB, "tempo", "UB Ninjas"
WURG Lands Midrange, 2, 2, 3, 1.50, 0.17, 0.17, 0, 0, 0, WURG, "midrange", "Sans Black Lands"
Grixis Tempo Doomsday, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, UBR, "combo, tempo", ""
Esper Doomsday, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUB, "combo", ""
Jeskai Breach, 2, 2, 3, 1.50, 0.17, 0.20, 0, 0, 0, WUR, "combo, control", "Jeskai Slushie"
Boros Equipment, 3, 2, 9, 3.00, 0.33, 0.33, 0, 0, 0, WR, "aggro", "RW Equipment"
Orzhov Tokens, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WB, "midrange", "BW Tokens"
The Rock, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, BG, "midrange", "Golgari Midrange"
4C Winota, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WBRG, "midrange", "Blood Winota"
Mardu Dead Guy Ale, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WBR, "midrange", ""
WBRG Aristocrats, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WBRG, "combo, midrange", ""
Abzan Aristocrats, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WBG, "combo, midrange", ""
Orzhov Control, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WB, "control", ""
5C Lands Combo, 2, 2, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBRG, "combo", ""
Grixis Tempo, 2, 1, 6, 3.00, 0.33, 0.50, 0, 0, 0, UBR, "tempo", ""
Medium Green, 2, 1, 3, 1.50, 0.17, 0.00, 0, 0, 0, G, "midrange", ""
Azorius Breach, 1, 1, 4, 4.00, 0.44, 0.44, 0, 0, 0, WU, "combo, control", ""
WUBG Oath Control, 3, 2, 8, 2.67, 0.30, 0.30, 0, 0, 0, WUBG, "combo, control", ""
Gruul Ramp, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, RG, "midrange", ""
Channel Mirror, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUBG, "combo", ""
Dimir Discard, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, UB, "midrange", ""
Dredge, 2, 1, 6, 3.00, 0.33, 0.33, 0, 0, 0, BRG, "midrange", ""
Naya Enchantress, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WRG, "combo", ""
Temur Tempo, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, URG, "tempo", ""
Sultai High Tide, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, UBG, "combo", ""
Abzan Angels, 2, 1, 3, 1.50, 0.17, 0.17, 0, 0, 0, WBG, "midrange", ""
WURG Pod, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WURG, "midrange", ""
WUBG Seeker Walk, 3, 1, 3, 1.00, 0.11, 0.13, 0, 0, 0, WUBG, "combo, midrange", "Sans Red Seeker Walk"
Sultai Lands Control, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, UBG, "control", ""
Esper Recurring Nightmare, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUB, "combo", ""
Mono Blue Shops, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, U, "stax", ""
5C Cascade, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUBRG, "midrange", ""
